ID,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
638,0.06,0.05,0.03,0.02,0.16
9592,1.05,0.77,0.1,0.36,2.28
18717,0,0.02,0,0,0.03
12767,0.14,0.1,0,0.02,0.26
16202,0.12,0.08,0,0.01,0.22
7872,0,0,0.3,0,0.3
1634,0.04,0,0,0,0.04
11507,0.04,0.03,0,0.01,0.08
4993,0.04,0.01,0,0,0.05
1544,0.87,0,0,0.05,0.92
4351,0.18,0.07,0,0,0.25
11651,0.06,0.03,0.06,0.02,0.17
19680,0.66,0.02,0,0.11,0.79
10221,0.71,0.11,0,0.06,0.87
10547,0.08,0.02,0,0,0.1
11978,0,0,0.02,0,0.02
7615,0.01,0.01,0.13,0.01,0.16
9698,0.08,0.06,0,0.02,0.15
8384,0.19,0.07,0,0,0.27
11140,0,0,1.65,0,1.65
14041,0.2,0.07,0,0.03,0.29
15293,0.02,0,0.02,0.01,0.05
10612,0,0,0.03,0,0.03
10661,0.02,0,0,0,0.02
18332,0.24,0.15,0,0.03,0.42
766,0.23,0.11,0.23,0.03,0.59
2732,0.1,0.03,0,0.02,0.15
10768,0.08,0.06,0,0.02,0.16
14663,1.62,0.77,2.78,0.14,5.3
19029,0.02,0.01,0,0,0.03
2,0.06,0.02,0,0,0.08
16303,0,0,0.81,0,0.81
13033,0,0.04,0,0,0.04
15600,0.53,0.02,0,0.04,0.59
15657,0,0,0.02,0,0.02
4089,0,0,0.14,0,0.14
12129,0,0.04,0,0.01,0.05
18166,0.09,0.07,0,0.02,0.19
16739,0.1,0,0,0.01,0.11
8598,0.04,0,0,0,0.05
14395,0.15,0.07,0,0.02,0.25
1598,0.19,0.05,0,0.01,0.25
2736,2.41,2.28,0.28,1.01,5.99
13613,0,0,0.07,0,0.07
5297,0.03,0.03,0,0.01,0.06
15041,1,0.03,0,0.77,1.8
4266,1.09,0.38,0.02,0.16,1.65
10992,0.27,0.08,1,0.01,1.36
828,0.03,0.02,0,0,0.05
19006,0.13,0.03,0.11,0.03,0.3
4536,0,0,0.05,0,0.05
10257,0,0,0.37,0,0.37
4429,0,0,0.13,0,0.13
9554,0.17,0,0,0.01,0.19
703,0.07,0,0,0.01,0.08
6389,0.15,0.02,0.02,0.01,0.19
7099,0.23,0.1,0,0.03,0.36
11830,0.98,0.52,0,0.19,1.69
18493,0.56,0.38,0,0.07,1
15079,0.25,0.39,0,0.08,0.72
6728,0.29,0.08,0,0.01,0.38
5814,0,0,0.14,0,0.14
15610,0,0.01,0,0,0.01
